web-scraper-order,web-scraper-start-url,Name Sort ascending,Locality,Accessibility
"1681718724-5043","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1120 Neder-Over-Heembeek
Rue de Ransbeek 310","Semi-public"
"1681718724-5044","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1000 Brussels
Loksumstraat 25","Semi-public"
"1681718724-5045","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1043 Schaerbeek
A. Reyerslaan 52","Semi-public"
"1681718724-5046","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1090 Jette
Dikke beuklaan 253","Public"
"1681718724-5047","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1200 Woluwe-Saint-Lambert
Woluwedal 46","Public"
"1681718724-5048","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1020 Laeken
Eeuwfeestlaan 9001","Semi-public"
"1681718724-5049","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1000 Brussels
Werkhuizenkaai 112","Semi-public"
"1681718724-5050","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1000 Brussels
139 Hoogstraat","Public"
"1681718724-5051","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1150 Woluwe-Saint-Pierre
Louis Jasminlaan 56","Public"
"1681718724-5052","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1066 elec-postal-1066
Helleveltlaan 38","Public"
"1681718724-5053","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1082 Berchem-Sainte-Agathe
Rue Zenith 30","Semi-public"
"1681718724-5054","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1066 elec-postal-1066
Winston Churchilllaan 194","Public"
"1681718724-5055","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1082 Berchem-Sainte-Agathe
Kasterlindenstraat 150","Semi-public"
"1681718724-5056","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1170 Watermael-Boitsfort
Avenue Lucanes 11","Semi-public"
"1681718724-5057","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1050 Elsene
Avenue Guillaume Macau 6","Public"
"1681718724-5058","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1060 Saint-Gilles
Parvis Chantecler","Public"
"1681718724-5059","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1000 Brussels
Antoine Depagelaan 1","Semi-public"
"1681718724-5060","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1160 Auderghem
Av. Docteur Edmond Cordier 1","Public"
"1681718724-5061","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1200 Woluwe-Saint-Lambert
Andromedalaan 4","Public"
"1681718724-5062","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1070 Anderlecht
Sylvain Denayerstraat 28","Public"
"1681718724-5063","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1040 Etterbeek
Louis Hapstraat 62","Public"
"1681718724-5064","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1000 Brussels
Charles Demeerstraat 63","Public"
"1681718724-5065","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1070 Anderlecht
Boerkozenstraat 1","Semi-public"
"1681718724-5066","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1081 Koekelberg
rue de la Sécurité face 41","Public"
"1681718724-5067","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1000 Brussels
Pagodenlaan 278","Public"
"1681718724-5068","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1070 Anderlecht
avenue d'Itterbeek 224","Public"
"1681718724-5069","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1170 Watermael-Boitsfort
Vinkstraat 36","Public"
"1681718724-5070","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1020 Laeken
Reper-Vrevenstraat 30","Public"
"1681718724-5071","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1090 Jette
Paul Michielsstraat 44","Public"
"1681718724-5072","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1170 Watermael-Boitsfort
Avenue des Naïades 25","Public"
"1681718724-5073","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1000 Brussels
Moorsledestraat 86","Public"
"1681718724-5074","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1180 Uccle
Mercuriuslaan 14","Semi-public"
"1681718724-5075","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1210 Saint-Josse-Ten-Noode
Rue de la Limite 108","Public"
"1681718724-5076","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1080 Molenbeek-Saint-Jean
Rue Osseghem 118","Public"
"1681718724-5077","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1040 Etterbeek
de Haernestraat 223","Public"
"1681718724-5078","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1150 Woluwe-Saint-Pierre
Rue Maurice Liétart 26","Public"
"1681718724-5079","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1190 Vorst
Victor Rousseaulaan 286","Public"
"1681718724-5080","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1066 elec-postal-1066
Groeselenbergstraat 89","Semi-public"
"1681718724-5081","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1070 Anderlecht
Georges Moreaustraat 162","Public"
"1681718724-5082","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1090 Jette
Rue Jean-Baptiste Serkeyn 19","Public"
"1681718724-5083","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1040 Etterbeek
Witte paterstraat 25","Public"
"1681718724-5084","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1080 Molenbeek-Saint-Jean
Auguste Van Zandestraat 69","Semi-public"
"1681718724-5085","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1160 Auderghem
Auguste Oleffelaan 1","Public"
"1681718724-5086","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1050 Elsene
Chaussée d’Ixelles 246","Public"
"1681718724-5087","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1060 Saint-Gilles
Langeveldstraat 113","Public"
"1681718724-5088","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1140 Evere
Friulilaan 22","Public"
"1681718724-5089","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1000 Brussels
Forumlaan 13","Public"
"1681718724-5090","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1060 Saint-Gilles
Brugmannlaan 20","Semi-public"
"1681718724-5091","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1170 Watermael-Boitsfort
Chaussée de La Hulpe 192","Public"
"1681718724-5092","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1040 Etterbeek
Philippe Baucqstraat 124","Public"
"1681718724-5093","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1000 Brussels
Stiénonlaan 4","Public"
"1681718724-5094","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1000 Brussels
hectolitre16","Public"
"1681718724-5095","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1140 Evere
rue Frans Verdonck 39","Public"
"1681718724-5096","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1082 Berchem-Sainte-Agathe
Sentier du Broek 128","Public"
"1681718724-5097","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1090 Jette
Laarbeeklaan 74","Semi-public"
"1681718724-5098","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1140 Evere
Avenue Louis Piérard 16","Public"
"1681718724-5099","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1200 Woluwe-Saint-Lambert
avenue du Gibet 2","Public"
"1681718724-5100","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1000 Brussels
Pioenenstraat 29","Public"
"1681718724-5101","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1080 Molenbeek-Saint-Jean
Begijnenstraat 159","Public"
"1681718724-5102","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1140 Evere
Rue de Paris 53","Public"
